Vset[DAC]   V[V]      dVRMS[mV]   dVpp[mV]   I[A]     dIRMS[mA]   dIpp[mA]   R[ohm]   T[C]     State      Timestamp
  130      -4.7575      0.00        0.00    0.071744     0.019     0.063    66.312    24.699    0b1001    20190910T173431496726
  120      -4.5536      0.37        1.25    0.068250     0.000     0.000    66.720    24.762    0b1001    20190910T173432461975
  110      -4.1725      0.00        0.00    0.061781     0.031     0.063    67.537    24.731    0b1001    20190910T173433425681
  100      -3.7936      0.38        1.25    0.055313     0.000     0.000    68.585    24.731    0b1001    20190910T173434390898
   90      -3.4138      0.00        0.00    0.048875     0.000     0.000    69.847    24.762    0b1001    20190910T173435351782
   80      -3.0338      0.00        0.00    0.042438     0.000     0.000    71.487    24.762    0b1001    20190910T173436319147
   70      -2.6537      0.00        0.00    0.036000     0.000     0.000    73.715    24.762    0b1001    20190910T173437287539
   60      -2.2721      0.57        1.25    0.029506     0.019     0.063    77.005    24.794    0b1001    20190910T173438258645
   50      -1.8925      0.00        0.00    0.023094     0.031     0.063    81.949    24.762    0b1001    20190910T173439231044
   40      -1.5149      0.38        1.25    0.016687     0.000     0.000    90.779    24.762    0b1001    20190910T173440201029
   30      -1.1350      0.00        0.00    0.010281     0.031     0.063   110.395    24.762    0b1001    20190910T173441169640
   20      -0.7561      0.37        1.25    0.003937     0.000     0.000   192.032    24.762    0b1001    20190910T173442131431
   10      -0.3775      0.00        0.00    0.000000     0.000     0.000     1.000    24.794    0b1001    20190910T173443098416
    0      -0.0000      0.00        0.00    0.000000     0.000     0.000     1.000    24.762    0b1001    20190910T173444060619
