Vset[DAC]   V[V]      dVRMS[mV]   dVpp[mV]   I[A]     dIRMS[mA]   dIpp[mA]   R[ohm]   T[C]     State      Timestamp
  130      -4.7613      0.00        0.00    0.070488     0.025     0.062    67.547    22.765     0b111    20190521T122257445825
  120      -4.5288      0.00        0.00    0.067244     0.019     0.063    67.348    22.796     0b111    20190521T122258404893
  110      -4.1499      0.38        1.25    0.062000     0.000     0.000    66.933    22.796     0b111    20190521T122259363123
  100      -3.7725      0.00        0.00    0.056750     0.000     0.000    66.476    22.828     0b111    20190521T122300319022
   90      -3.3950      0.00        0.00    0.051562     0.000     0.000    65.842    22.828     0b111    20190521T122301275441
   80      -3.0164      0.38        1.25    0.046312     0.000     0.000    65.131    22.860     0b111    20190521T122302234071
   70      -2.6388      0.00        0.00    0.041125     0.000     0.000    64.164    22.828     0b111    20190521T122303191702
   60      -2.2587      0.00        0.00    0.035875     0.000     0.000    62.962    22.860     0b111    20190521T122304149181
   50      -1.8813      0.00        0.00    0.030687     0.000     0.000    61.303    22.860     0b111    20190521T122305106191
   40      -1.5038      0.00        0.00    0.025500     0.000     0.000    58.971    22.860     0b111    20190521T122306071073
   30      -1.1263      0.00        0.00    0.020313     0.000     0.000    55.446    22.860     0b111    20190521T122307042819
   20      -0.7488      0.00        0.00    0.015188     0.000     0.000    49.300    22.860     0b111    20190521T122308009874
   10      -0.3715      0.50        1.25    0.010000     0.000     0.000    37.150    22.860     0b111    20190521T122308969986
    0      -0.0000      0.00        0.00    0.004812     0.000     0.000    -0.000    22.860     0b111    20190521T122309931592
