Vset[DAC]   V[V]      dVRMS[mV]   dVpp[mV]   I[A]     dIRMS[mA]   dIpp[mA]   R[ohm]   T[C]     State      Timestamp
  130      -4.7925      0.00        0.00    0.043638     0.025     0.063   109.825    24.509       0b0    20181005T173331756712
  120      -4.6375      0.00        0.00    0.042000     0.000     0.000   110.417    24.509       0b0    20181005T173332808521
  110      -4.2500      0.00        0.00    0.037919     0.029     0.062   112.082    24.509       0b0    20181005T173333869949
  100      -3.8631      0.62        1.25    0.033813     0.000     0.000   114.251    24.477       0b0    20181005T173334930274
   90      -3.4763      0.00        0.00    0.029750     0.000     0.000   116.849    24.509       0b0    20181005T173335992345
   80      -3.0900      0.00        0.00    0.025675     0.025     0.063   120.351    24.509       0b0    20181005T173337051450
   70      -2.7029      0.57        1.25    0.021625     0.000     0.000   124.988    24.477       0b0    20181005T173338112351
   60      -2.3137      0.00        0.00    0.017500     0.000     0.000   132.214    24.509       0b0    20181005T173339174211
   50      -1.9275      0.00        0.00    0.013438     0.000     0.000   143.442    24.509       0b0    20181005T173340235195
   40      -1.5413      0.00        0.00    0.009375     0.000     0.000   164.400    24.477       0b0    20181005T173341296175
   30      -1.1554      0.57        1.25    0.005312     0.000     0.000   217.482    24.509       0b0    20181005T173342356533
   20      -0.7696      0.57        1.25    0.001312     0.000     0.000   586.381    24.477       0b0    20181005T173343418141
   10      -0.3838      0.00        0.00    0.000000     0.000     0.000     1.000    24.477       0b0    20181005T173344477123
    0      -0.0000      0.00        0.00    0.000000     0.000     0.000     1.000    24.477       0b0    20181005T173345537953
