Vset[DAC]   V[V]      dVRMS[mV]   dVpp[mV]   I[A]     dIRMS[mA]   dIpp[mA]   R[ohm]   T[C]     State      Timestamp
  130      -4.7825      0.00        0.00    0.077250     0.000     0.000    61.909    29.201    0b1001    20190610T122737789420
  120      -4.7265      0.50        1.25    0.076275     0.031     0.062    61.967    29.201    0b1001    20190610T122738748385
  110      -4.3325      0.00        0.00    0.069625     0.000     0.000    62.226    29.233    0b1001    20190610T122739709123
  100      -3.9377      0.50        1.25    0.063000     0.000     0.000    62.504    29.233    0b1001    20190610T122740670481
   90      -3.5450      0.00        0.00    0.056375     0.000     0.000    62.882    29.233    0b1001    20190610T122741628839
   80      -3.1502      0.50        1.25    0.049744     0.019     0.063    63.330    29.233    0b1001    20190610T122742589415
   70      -2.7563      0.00        0.00    0.043094     0.031     0.063    63.959    29.233    0b1001    20190610T122743551411
   60      -2.3600      0.00        0.00    0.036438     0.000     0.000    64.768    29.201    0b1001    20190610T122744511276
   50      -1.9663      0.00        0.00    0.029813     0.000     0.000    65.954    29.233    0b1001    20190610T122745471760
   40      -1.5725      0.00        0.00    0.023187     0.000     0.000    67.817    29.233    0b1001    20190610T122746445059
   30      -1.1788      0.00        0.00    0.016563     0.000     0.000    71.170    29.264    0b1001    20190610T122747415938
   20      -0.7850      0.00        0.00    0.010000     0.000     0.000    78.500    29.264    0b1001    20190610T122748387632
   10      -0.3912      0.00        0.00    0.003375     0.000     0.000   115.926    29.233    0b1001    20190610T122749358001
    0      -0.0000      0.00        0.00    0.000000     0.000     0.000     1.000    29.264    0b1001    20190610T122750319839
