Vset[DAC]   V[V]      dVRMS[mV]   dVpp[mV]   I[A]     dIRMS[mA]   dIpp[mA]   R[ohm]   T[C]     State      Timestamp
  130      -4.7575      0.00        0.00    0.066812     0.000     0.000    71.207    24.287     0b111    20190531T093532855787
  120      -4.5694      0.62        1.25    0.064250     0.000     0.000    71.119    24.255     0b111    20190531T093533812106
  110      -4.1875      0.00        0.00    0.059031     0.031     0.063    70.937    24.255     0b111    20190531T093534769247
  100      -3.8062      0.00        0.00    0.053831     0.029     0.063    70.707    24.287     0b111    20190531T093535728462
   90      -3.4263      0.00        0.00    0.048625     0.000     0.000    70.463    24.287     0b111    20190531T093536686217
   80      -3.0450      0.00        0.00    0.043438     0.000     0.000    70.101    24.287     0b111    20190531T093537645037
   70      -2.6634      0.57        1.25    0.038250     0.000     0.000    69.631    24.287     0b111    20190531T093538602816
   60      -2.2795      0.61        1.25    0.033000     0.000     0.000    69.076    24.255     0b111    20190531T093539560439
   50      -1.8975      0.00        0.00    0.027813     0.000     0.000    68.225    24.287     0b111    20190531T093540518835
   40      -1.5162      0.00        0.00    0.022625     0.000     0.000    67.017    24.287     0b111    20190531T093541475180
   30      -1.1350      0.00        0.00    0.017425     0.025     0.063    65.136    24.287     0b111    20190531T093542432128
   20      -0.7538      0.00        0.00    0.012262     0.025     0.063    61.468    24.255     0b111    20190531T093543389863
   10      -0.3725      0.00        0.00    0.007063     0.000     0.000    52.743    24.255     0b111    20190531T093544347595
    0      -0.0000      0.00        0.00    0.001875     0.000     0.000    -0.000    24.255     0b111    20190531T093545304184
