Vset[DAC]   V[V]      dVRMS[mV]   dVpp[mV]   I[A]     dIRMS[mA]   dIpp[mA]   R[ohm]   T[C]     State      Timestamp
  130      -4.7475      0.00        0.00    0.071438     0.000     0.000    66.457    25.682    0b1111    20190604T162723742838
  120      -4.4988      0.00        0.00    0.067750     0.000     0.000    66.402    25.682    0b1111    20190604T162724702562
  110      -4.1225      0.00        0.00    0.062188     0.000     0.000    66.291    25.682    0b1111    20190604T162725659873
  100      -3.7477      0.50        1.25    0.056625     0.000     0.000    66.185    25.713    0b1111    20190604T162726619402
   90      -3.3738      0.00        0.00    0.051062     0.000     0.000    66.071    25.682    0b1111    20190604T162727576474
   80      -2.9988      0.00        0.00    0.045500     0.000     0.000    65.907    25.682    0b1111    20190604T162728536255
   70      -2.6238      0.00        0.00    0.040000     0.000     0.000    65.594    25.682    0b1111    20190604T162729495113
   60      -2.2462      0.00        0.00    0.034375     0.000     0.000    65.345    25.713    0b1111    20190604T162730451815
   50      -1.8713      0.00        0.00    0.028813     0.000     0.000    64.946    25.713    0b1111    20190604T162731409414
   40      -1.4963      0.00        0.00    0.023300     0.025     0.063    64.217    25.713    0b1111    20190604T162732367208
   30      -1.1213      0.00        0.00    0.017750     0.000     0.000    63.169    25.713    0b1111    20190604T162733328264
   20      -0.7462      0.00        0.00    0.012188     0.000     0.000    61.231    25.713    0b1111    20190604T162734285994
   10      -0.3712      0.00        0.00    0.006625     0.000     0.000    56.038    25.713    0b1111    20190604T162735245014
    0      -0.0000      0.00        0.00    0.001106     0.029     0.062    -0.000    25.713    0b1111    20190604T162736202146
