Vset[DAC]   V[V]      dVRMS[mV]   dVpp[mV]   I[A]     dIRMS[mA]   dIpp[mA]   R[ohm]   T[C]     State      Timestamp
  130      -4.7613      0.00        0.00    0.063187     0.000     0.000    75.351    24.635    0b1111    20190603T165358074559
  120      -4.6600      0.00        0.00    0.061688     0.000     0.000    75.542    24.604    0b1111    20190603T165359033617
  110      -4.2700      0.00        0.00    0.055938     0.000     0.000    76.335    24.604    0b1111    20190603T165359990418
  100      -3.8818      0.61        1.25    0.050231     0.029     0.063    77.278    24.635    0b1111    20190603T165400949762
   90      -3.4939      0.38        1.25    0.044500     0.000     0.000    78.514    24.635    0b1111    20190603T165401908361
   80      -3.1062      0.00        0.00    0.038813     0.000     0.000    80.032    24.635    0b1111    20190603T165402873711
   70      -2.7175      0.00        0.00    0.033069     0.019     0.063    82.177    24.635    0b1111    20190603T165403846360
   60      -2.3263      0.00        0.00    0.027356     0.029     0.063    85.035    24.635    0b1111    20190603T165404817093
   50      -1.9375      0.00        0.00    0.021631     0.019     0.063    89.569    24.604    0b1111    20190603T165405789834
   40      -1.5488      0.00        0.00    0.015937     0.000     0.000    97.176    24.635    0b1111    20190603T165406759462
   30      -1.1608      0.61        1.25    0.010250     0.000     0.000   113.244    24.604    0b1111    20190603T165407720146
   20      -0.7722      0.50        1.25    0.004625     0.000     0.000   166.973    24.635    0b1111    20190603T165408677237
   10      -0.3838      0.00        0.00    0.000000     0.000     0.000     1.000    24.635    0b1111    20190603T165409639366
    0      -0.0000      0.00        0.00    0.000000     0.000     0.000     1.000    24.635    0b1111    20190603T165410598985
