Vavg[V]      Itot[A]     Tboard[C]     Taux1[C]     Taux2[C]     LUstate              Timestamp
 2.24161     4.37667     23.62080      29.32784     28.02790    0b1111111111111111    20181030T140352614110
 2.24166     4.37500     23.62080      29.35954     28.02790    0b1111111111111111    20181030T140353031600
 2.24161     4.37750     23.65250      29.35954     28.02790    0b1111111111111111    20181030T140353449742
 2.24175     4.37583     23.65250      29.35954     28.02790    0b1111111111111111    20181030T140353869490
 2.24175     4.37583     23.68421      29.35954     28.05961    0b1111111111111111    20181030T140354286943
 2.24198     4.37750     24.60368      29.35954     28.05961    0b1111111111111111    20181030T140354705603
 2.24231     4.37750     26.25238      29.35954     28.09131    0b1111111111111111    20181030T140355123939
 2.24264     4.37833     27.99620      29.35954     28.05961    0b1111111111111111    20181030T140355541453
 2.24273     4.37667     29.10590      29.35954     28.12302    0b1111111111111111    20181030T140355959085
 2.24283     4.37833     30.24731      29.35954     28.09131    0b1111111111111111    20181030T140356377790
 2.24302     4.37833     31.64236      29.35954     28.12302    0b1111111111111111    20181030T140356796817
 2.24316     4.37833     33.38618      29.39125     28.15472    0b1111111111111111    20181030T140357216935
 2.24330     4.37750     34.49588      29.39125     28.12302    0b1111111111111111    20181030T140357635960
 2.24348     4.37917     36.11287      29.35954     28.15472    0b1111111111111111    20181030T140358054174
 2.24367     4.37917     37.47622      29.39125     28.15472    0b1111111111111111    20181030T140358473407
 2.24381     4.37917     38.80786      29.39125     28.18643    0b1111111111111111    20181030T140358892619
 2.24405     4.38000     40.04439      29.39125     28.18643    0b1111111111111111    20181030T140359311627
 2.24414     4.37917     41.05897      29.39125     28.15472    0b1111111111111111    20181030T140359729239
 2.24428     4.38000     42.01015      29.42295     28.15472    0b1111111111111111    20181030T140400147848
 2.24452     4.38000     43.08814      29.39125     28.21814    0b1111111111111111    20181030T140400565243
 2.24456     4.37917     44.19784      29.39125     28.15472    0b1111111111111111    20181030T140400984091
 2.24470     4.37917     45.33925      29.42295     28.21814    0b1111111111111111    20181030T140401402208
 2.24470     4.38083     46.48066      29.39125     28.21814    0b1111111111111111    20181030T140401821826
 2.24470     4.38167     47.24160      29.39125     28.21814    0b1111111111111111    20181030T140402240456
 2.24489     4.38000     47.87571      29.42295     28.18643    0b1111111111111111    20181030T140402658648
 2.24503     4.38250     48.66836      29.42295     28.18643    0b1111111111111111    20181030T140403076432
 2.24508     4.38250     49.90488      29.42295     28.24984    0b1111111111111111    20181030T140403493449
 2.24527     4.38083     50.53900      29.42295     28.18643    0b1111111111111111    20181030T140403911424
 2.24527     4.38083     51.04629      29.42295     28.21814    0b1111111111111111    20181030T140404329036
 2.24545     4.38333     51.58529      29.42295     28.21814    0b1111111111111111    20181030T140404748817
 2.24545     4.38417     51.99746      29.42295     28.21814    0b1111111111111111    20181030T140405168920
 2.24555     4.38250     52.75840      29.42295     28.21814    0b1111111111111111    20181030T140405587676
 2.24555     4.38250     53.55105      29.42295     28.24984    0b1111111111111111    20181030T140406005784
 2.24578     4.38417     54.24857      29.45466     28.24984    0b1111111111111111    20181030T140406424802
 2.24592     4.38417     54.62904      29.42295     28.24984    0b1111111111111111    20181030T140406844793
 2.24597     4.38167     54.88269      29.42295     28.24984    0b1111111111111111    20181030T140407262382
 2.24602     4.38500     55.32657      29.45466     28.21814    0b1111111111111111    20181030T140407680683
 2.24611     4.38583     55.54851      29.42295     28.24984    0b1111111111111111    20181030T140408098231
 2.24616     4.38500     56.02410      29.45466     28.24984    0b1111111111111111    20181030T140408516367
