Vset[DAC]   V[V]      dVRMS[mV]   dVpp[mV]   I[A]     dIRMS[mA]   dIpp[mA]   R[ohm]   T[C]     State      Timestamp
  130      -4.7687      0.00        0.00    0.069063     0.000     0.000    69.050    25.967    0b1111    20190605T150415343318
  120      -4.6650      0.00        0.00    0.067463     0.031     0.062    69.150    25.967    0b1111    20190605T150416300676
  110      -4.2747      0.50        1.25    0.061688     0.000     0.000    69.297    25.999    0b1111    20190605T150417258670
  100      -3.8855      0.61        1.25    0.055875     0.000     0.000    69.539    25.999    0b1111    20190605T150418217714
   90      -3.4975      0.00        0.00    0.050075     0.025     0.063    69.845    25.999    0b1111    20190605T150419174632
   80      -3.1088      0.00        0.00    0.044312     0.000     0.000    70.155    25.999    0b1111    20190605T150420139626
   70      -2.7196      0.57        1.25    0.038500     0.000     0.000    70.640    25.999    0b1111    20190605T150421107866
   60      -2.3287      0.00        0.00    0.032687     0.000     0.000    71.243    25.999    0b1111    20190605T150422073337
   50      -1.9399      0.37        1.25    0.026875     0.000     0.000    72.181    26.030    0b1111    20190605T150423031129
   40      -1.5510      0.50        1.25    0.021119     0.019     0.062    73.442    25.999    0b1111    20190605T150423989263
   30      -1.1625      0.00        0.00    0.015313     0.000     0.000    75.918    25.999    0b1111    20190605T150424947025
   20      -0.7737      0.00        0.00    0.009562     0.000     0.000    80.915    25.999    0b1111    20190605T150425903401
   10      -0.3851      0.37        1.25    0.003750     0.000     0.000   102.700    25.999    0b1111    20190605T150426860957
    0      -0.0000      0.00        0.00    0.000000     0.000     0.000     1.000    26.030    0b1111    20190605T150427818938
