Vset[DAC]   V[V]      dVRMS[mV]   dVpp[mV]   I[A]     dIRMS[mA]   dIpp[mA]   R[ohm]   T[C]     State      Timestamp
  130      -4.7463      0.00        0.00    0.049150     0.031     0.063    96.567    26.347       0b0    20190605T154417012780
  120      -4.4850      0.00        0.00    0.046381     0.019     0.063    96.699    26.316       0b0    20190605T154417971767
  110      -4.1100      0.00        0.00    0.042456     0.029     0.062    96.806    26.316       0b0    20190605T154418929752
  100      -3.7362      0.00        0.00    0.038550     0.025     0.063    96.920    26.316       0b0    20190605T154419889068
   90      -3.3625      0.00        0.00    0.034625     0.000     0.000    97.112    26.316       0b0    20190605T154420845233
   80      -2.9888      0.00        0.00    0.030687     0.000     0.000    97.393    26.316       0b0    20190605T154421802411
   70      -2.6138      0.00        0.00    0.026781     0.031     0.062    97.596    26.316       0b0    20190605T154422763408
   60      -2.2375      0.00        0.00    0.022819     0.019     0.063    98.055    26.316       0b0    20190605T154423721301
   50      -1.8638      0.00        0.00    0.018925     0.025     0.063    98.481    26.284       0b0    20190605T154424680039
   40      -1.4887      0.00        0.00    0.015000     0.000     0.000    99.250    26.316       0b0    20190605T154425638595
   30      -1.1150      0.00        0.00    0.011063     0.000     0.000   100.791    26.284       0b0    20190605T154426596500
   20      -0.7412      0.00        0.00    0.007188     0.000     0.000   103.130    26.284       0b0    20190605T154427553860
   10      -0.3675      0.00        0.00    0.003250     0.000     0.000   113.077    26.252       0b0    20190605T154428513245
    0      -0.0000      0.00        0.00    0.000000     0.000     0.000     1.000    26.284       0b0    20190605T154429470097
