Vset[DAC]   V[V]      dVRMS[mV]   dVpp[mV]   I[A]     dIRMS[mA]   dIpp[mA]   R[ohm]   T[C]     State      Timestamp
  130      -4.7638      0.00        0.00    0.075575     0.025     0.062    63.033    26.189    0b1001    20190613T171814635006
  120      -4.5938      0.00        0.00    0.072625     0.000     0.000    63.253    26.189    0b1001    20190613T171815603642
  110      -4.2098      0.50        1.25    0.066063     0.000     0.000    63.724    26.189    0b1001    20190613T171816576283
  100      -3.8263      0.00        0.00    0.059562     0.000     0.000    64.239    26.189    0b1001    20190613T171817539120
   90      -3.4438      0.00        0.00    0.053050     0.025     0.062    64.915    26.189    0b1001    20190613T171818495560
   80      -3.0604      0.57        1.25    0.046562     0.000     0.000    65.726    26.221    0b1001    20190613T171819450654
   70      -2.6771      0.57        1.25    0.040063     0.000     0.000    66.824    26.189    0b1001    20190613T171820410135
   60      -2.2913      0.00        0.00    0.033506     0.019     0.063    68.383    26.221    0b1001    20190613T171821369035
   50      -1.9075      0.00        0.00    0.027062     0.000     0.000    70.485    26.157    0b1001    20190613T171822328118
   40      -1.5250      0.00        0.00    0.020625     0.000     0.000    73.939    26.189    0b1001    20190613T171823285115
   30      -1.1425      0.00        0.00    0.014175     0.025     0.062    80.600    26.189    0b1001    20190613T171824244872
   20      -0.7588      0.00        0.00    0.007750     0.000     0.000    97.903    26.189    0b1001    20190613T171825201982
   10      -0.3763      0.00        0.00    0.001362     0.025     0.063   276.147    26.189    0b1001    20190613T171826161141
    0      -0.0000      0.00        0.00    0.000000     0.000     0.000     1.000    26.189    0b1001    20190613T171827127775
