Vset[DAC]   V[V]      dVRMS[mV]   dVpp[mV]   I[A]     dIRMS[mA]   dIpp[mA]   R[ohm]   T[C]     State      Timestamp
  130      -4.7875      0.00        0.00    0.041344     0.031     0.063   115.797    23.843       0b0    20190524T172614276862
  120      -4.7750      0.00        0.00    0.041187     0.000     0.000   115.933    23.843       0b0    20190524T172615241361
  110      -4.3889      0.37        1.25    0.037062     0.000     0.000   118.418    23.811       0b0    20190524T172616208097
  100      -3.9893      0.61        1.25    0.032788     0.031     0.063   121.670    23.811       0b0    20190524T172617178556
   90      -3.5900      0.00        0.00    0.028500     0.000     0.000   125.965    23.811       0b0    20190524T172618143929
   80      -3.1910      0.50        1.25    0.024250     0.000     0.000   131.588    23.811       0b0    20190524T172619116010
   70      -2.7913      0.00        0.00    0.020000     0.000     0.000   139.563    23.779       0b0    20190524T172620074719
   60      -2.3888      0.00        0.00    0.015687     0.000     0.000   152.271    23.811       0b0    20190524T172621034520
   50      -1.9913      0.00        0.00    0.011500     0.000     0.000   173.152    23.811       0b0    20190524T172621989233
   40      -1.5925      0.00        0.00    0.007250     0.000     0.000   219.655    23.811       0b0    20190524T172622950596
   30      -1.1941      0.57        1.25    0.003000     0.000     0.000   398.042    23.811       0b0    20190524T172623909479
   20      -0.7950      0.00        0.00    0.000000     0.000     0.000     1.000    23.811       0b0    20190524T172624868691
   10      -0.3963      0.00        0.00    0.000000     0.000     0.000     1.000    23.811       0b0    20190524T172625829928
    0      -0.0000      0.00        0.00    0.000000     0.000     0.000     1.000    23.779       0b0    20190524T172626790989
