Vset[DAC]   V[V]      dVRMS[mV]   dVpp[mV]   I[A]     dIRMS[mA]   dIpp[mA]   R[ohm]   T[C]     State      Timestamp
  130      -4.7600      0.00        0.00    0.081819     0.019     0.063    58.177    24.255    0b1111    20190603T174303236745
  120      -4.5122      0.50        1.25    0.078125     0.000     0.000    57.757    24.318    0b1111    20190603T174304195716
  110      -4.1350      0.00        0.00    0.072500     0.000     0.000    57.034    24.287    0b1111    20190603T174305154950
  100      -3.7588      0.00        0.00    0.066881     0.019     0.063    56.200    24.287    0b1111    20190603T174306114924
   90      -3.3825      0.00        0.00    0.061288     0.031     0.063    55.191    24.318    0b1111    20190603T174307068017
   80      -3.0063      0.00        0.00    0.055688     0.000     0.000    53.984    24.318    0b1111    20190603T174308027426
   70      -2.6292      0.61        1.25    0.050062     0.000     0.000    52.519    20.292    0b1111    20190603T174308984907
   60      -2.2504      0.57        1.25    0.044438     0.000     0.000    50.641    24.318    0b1111    20190603T174309942721
   50      -1.8740      0.50        1.25    0.038875     0.000     0.000    48.206    24.318    0b1111    20190603T174310903594
   40      -1.4980      0.61        1.25    0.033269     0.029     0.063    45.027    24.318    0b1111    20190603T174311862814
   30      -1.1223      0.50        1.25    0.027687     0.000     0.000    40.533    24.318    0b1111    20190603T174312821338
   20      -0.7461      0.37        1.25    0.022131     0.019     0.063    33.714    24.318    0b1111    20190603T174313775555
   10      -0.3700      0.00        0.00    0.016563     0.000     0.000    22.340    24.318    0b1111    20190603T174314734178
    0      -0.0000      0.00        0.00    0.010987     0.025     0.063    -0.000    24.350    0b1111    20190603T174315694517
