Vset[DAC]   V[V]      dVRMS[mV]   dVpp[mV]   I[A]     dIRMS[mA]   dIpp[mA]   R[ohm]   T[C]     State      Timestamp
  130      -4.7537      0.00        0.00    0.054713     0.031     0.063    86.886    28.821     0b111    20181008T164424785387
  120      -4.6187      0.00        0.00    0.052812     0.000     0.000    87.456    28.789     0b111    20181008T164425836362
  110      -4.2325      0.00        0.00    0.047500     0.000     0.000    89.105    28.757     0b111    20181008T164426888097
  100      -3.8475      0.00        0.00    0.042187     0.000     0.000    91.200    28.789     0b111    20181008T164427938079
   90      -3.4638      0.00        0.00    0.036881     0.019     0.062    93.916    28.757     0b111    20181008T164428990217
   80      -3.0787      0.00        0.00    0.031588     0.031     0.063    97.467    28.757     0b111    20181008T164430040550
   70      -2.6938      0.00        0.00    0.026312     0.000     0.000   102.375    28.694     0b111    20181008T164431094885
   60      -2.3073      0.50        1.25    0.020962     0.031     0.062   110.066    28.694     0b111    20181008T164432146635
   50      -1.9225      0.00        0.00    0.015687     0.000     0.000   122.550    28.662     0b111    20181008T164433203667
   40      -1.5375      0.00        0.00    0.010375     0.000     0.000   148.193    28.662     0b111    20181008T164434258850
   30      -1.1525      0.00        0.00    0.005088     0.031     0.063   226.536    28.630     0b111    20181008T164435321608
   20      -0.7675      0.00        0.00    0.000000     0.000     0.000     1.000    28.599     0b111    20181008T164436383060
   10      -0.3838      0.00        0.00    0.000000     0.000     0.000     1.000    28.599     0b111    20181008T164437436240
    0      -0.0000      0.00        0.00    0.000000     0.000     0.000     1.000    28.567     0b111    20181008T164438489409
