Vset[DAC]   V[V]      dVRMS[mV]   dVpp[mV]   I[A]     dIRMS[mA]   dIpp[mA]   R[ohm]   T[C]     State      Timestamp
  130      -4.7737      0.00        0.00    0.089256     0.019     0.062    53.484    23.431    0b1001    20191209T140108293510
  120      -4.5214      0.37        1.25    0.084937     0.000     0.000    53.232    23.431    0b1001    20191209T140109249486
  110      -4.1437      0.00        0.00    0.078619     0.019     0.062    52.707    23.431    0b1001    20191209T140110205096
  100      -3.7675      0.00        0.00    0.072313     0.000     0.000    52.100    23.462    0b1001    20191209T140111164618
   90      -3.3913      0.00        0.00    0.066000     0.000     0.000    51.383    23.462    0b1001    20191209T140112125952
   80      -3.0146      0.57        1.25    0.059688     0.000     0.000    50.507    23.462    0b1001    20191209T140113082838
   70      -2.6375      0.00        0.00    0.053381     0.019     0.063    49.409    23.462    0b1001    20191209T140114035446
   60      -2.2580      0.61        1.25    0.047063     0.000     0.000    47.979    23.431    0b1001    20191209T140114992071
   50      -1.8813      0.00        0.00    0.040769     0.029     0.063    46.144    23.462    0b1001    20191209T140115953671
   40      -1.5045      0.61        1.25    0.034500     0.000     0.000    43.609    23.462    0b1001    20191209T140116910610
   30      -1.1275      0.00        0.00    0.028187     0.000     0.000    40.000    23.462    0b1001    20191209T140117866259
   20      -0.7512      0.00        0.00    0.021938     0.000     0.000    34.245    23.494    0b1001    20191209T140118822995
   10      -0.3748      0.50        1.25    0.015625     0.000     0.000    23.984    23.462    0b1001    20191209T140119779068
    0      -0.0000      0.00        0.00    0.009350     0.031     0.063    -0.000    23.462    0b1001    20191209T140120736346
