Vset[DAC]   V[V]      dVRMS[mV]   dVpp[mV]   I[A]     dIRMS[mA]   dIpp[mA]   R[ohm]   T[C]     State      Timestamp
  130      -4.7925      0.00        0.00    0.062937     0.000     0.000    76.147    23.494     0b111    20190410T103355624862
  120      -4.6757      0.61        1.25    0.061313     0.000     0.000    76.261    23.494     0b111    20190410T103356581627
  110      -4.2844      0.62        1.25    0.055938     0.000     0.000    76.592    23.494     0b111    20190410T103357536487
  100      -3.8945      0.61        1.25    0.050625     0.000     0.000    76.928    23.526     0b111    20190410T103358492182
   90      -3.5050      0.00        0.00    0.045250     0.000     0.000    77.459    23.526     0b111    20190410T103359450483
   80      -3.1147      0.50        1.25    0.039938     0.000     0.000    77.991    23.526     0b111    20190410T103400416837
   70      -2.7240      0.50        1.25    0.034575     0.025     0.063    78.785    23.557     0b111    20190410T103401379916
   60      -2.3325      0.00        0.00    0.029244     0.019     0.063    79.761    23.526     0b111    20190410T103402340776
   50      -1.9425      0.00        0.00    0.023938     0.000     0.000    81.149    23.526     0b111    20190410T103403306010
   40      -1.5536      0.37        1.25    0.018625     0.000     0.000    83.416    23.526     0b111    20190410T103404266993
   30      -1.1638      0.00        0.00    0.013313     0.000     0.000    87.418    23.526     0b111    20190410T103405229727
   20      -0.7750      0.00        0.00    0.008031     0.031     0.063    96.498    23.557     0b111    20190410T103406190712
   10      -0.3850      0.00        0.00    0.002737     0.025     0.063   140.639    23.526     0b111    20190410T103407155981
    0      -0.0000      0.00        0.00    0.000000     0.000     0.000     1.000    23.526     0b111    20190410T103408123700
