Vset[DAC]   V[V]      dVRMS[mV]   dVpp[mV]   I[A]     dIRMS[mA]   dIpp[mA]   R[ohm]   T[C]     State      Timestamp
  130      -4.7638      0.00        0.00    0.079781     0.031     0.062    59.710    24.477    0b1111    20190618T163856014755
  120      -4.5325      0.00        0.00    0.076313     0.000     0.000    59.394    24.540    0b1111    20190618T163856980062
  110      -4.1538      0.00        0.00    0.070688     0.000     0.000    58.762    24.540    0b1111    20190618T163857944834
  100      -3.7763      0.00        0.00    0.065063     0.000     0.000    58.040    24.509    0b1111    20190618T163858911575
   90      -3.3988      0.00        0.00    0.059469     0.031     0.063    57.152    24.540    0b1111    20190618T163859874563
   80      -3.0200      0.00        0.00    0.053875     0.000     0.000    56.056    24.540    0b1111    20190618T163900839143
   70      -2.6414      0.38        1.25    0.048250     0.000     0.000    54.744    24.540    0b1111    20190618T163901803377
   60      -2.2612      0.00        0.00    0.042600     0.031     0.063    53.081    24.572    0b1111    20190618T163902766894
   50      -1.8840      0.50        1.25    0.037000     0.000     0.000    50.919    24.572    0b1111    20190618T163903732628
   40      -1.5075      0.00        0.00    0.031375     0.000     0.000    48.048    24.540    0b1111    20190618T163904698464
   30      -1.1300      0.00        0.00    0.025812     0.000     0.000    43.777    24.572    0b1111    20190618T163905664552
   20      -0.7525      0.00        0.00    0.020231     0.029     0.063    37.195    24.572    0b1111    20190618T163906626250
   10      -0.3750      0.00        0.00    0.014625     0.000     0.000    25.641    24.572    0b1111    20190618T163907591067
    0      -0.0000      0.00        0.00    0.009000     0.000     0.000    -0.000    24.540    0b1111    20190618T163908554437
