Vset[DAC]   V[V]      dVRMS[mV]   dVpp[mV]   I[A]     dIRMS[mA]   dIpp[mA]   R[ohm]   T[C]     State      Timestamp
  130      -4.7512      0.00        0.00    0.068875     0.000     0.000    68.984    24.413    0b1001    20190606T174637954847
  120      -4.5400      0.00        0.00    0.065313     0.000     0.000    69.512    24.477    0b1001    20190606T174638915763
  110      -4.1604      0.57        1.25    0.058919     0.029     0.063    70.612    24.445    0b1001    20190606T174639876606
  100      -3.7825      0.00        0.00    0.052512     0.025     0.062    72.030    24.445    0b1001    20190606T174640834496
   90      -3.4037      0.00        0.00    0.046169     0.029     0.063    73.724    24.445    0b1001    20190606T174641795198
   80      -3.0250      0.00        0.00    0.039769     0.029     0.063    76.065    24.445    0b1001    20190606T174642754283
   70      -2.6463      0.00        0.00    0.033431     0.019     0.063    79.155    24.477    0b1001    20190606T174643712887
   60      -2.2650      0.00        0.00    0.027000     0.000     0.000    83.889    24.477    0b1001    20190606T174644673037
   50      -1.8861      0.37        1.25    0.020625     0.000     0.000    91.448    24.445    0b1001    20190606T174645632238
   40      -1.5075      0.00        0.00    0.014250     0.000     0.000   105.789    24.445    0b1001    20190606T174646591832
   30      -1.1287      0.00        0.00    0.007894     0.029     0.063   142.993    24.445    0b1001    20190606T174647556726
   20      -0.7491      0.57        1.25    0.001613     0.025     0.063   464.574    24.477    0b1001    20190606T174648517237
   10      -0.3712      0.00        0.00    0.000000     0.000     0.000     1.000    24.477    0b1001    20190606T174649474948
    0      -0.0000      0.00        0.00    0.000000     0.000     0.000     1.000    24.445    0b1001    20190606T174650434022
