Vset[DAC]   V[V]      dVRMS[mV]   dVpp[mV]   I[A]     dIRMS[mA]   dIpp[mA]   R[ohm]   T[C]     State      Timestamp
  130      -4.5239      0.38        1.25    0.076625     0.000     0.000    59.039    29.328    0b1001    20190612T101841341790
  120      -4.4725      0.00        0.00    0.075750     0.000     0.000    59.043    29.328    0b1001    20190612T101842309527
  110      -4.0995      0.61        1.25    0.069375     0.000     0.000    59.092    29.328    0b1001    20190612T101843274260
  100      -3.7269      0.62        1.25    0.063019     0.029     0.062    59.139    29.328    0b1001    20190612T101844244249
   90      -3.3540      0.50        1.25    0.056725     0.031     0.063    59.127    29.328    0b1001    20190612T101845203195
   80      -2.9812      0.00        0.00    0.050431     0.019     0.063    59.115    29.328    0b1001    20190612T101846162569
   70      -2.6084      0.57        1.25    0.044125     0.000     0.000    59.113    29.360    0b1001    20190612T101847122529
   60      -2.2330      0.61        1.25    0.037781     0.031     0.063    59.103    29.360    0b1001    20190612T101848083529
   50      -1.8602      0.50        1.25    0.031500     0.000     0.000    59.056    29.360    0b1001    20190612T101849054393
   40      -1.4875      0.00        0.00    0.025188     0.000     0.000    59.057    29.360    0b1001    20190612T101850020916
   30      -1.1150      0.00        0.00    0.018894     0.029     0.063    59.014    29.360    0b1001    20190612T101850984127
   20      -0.7412      0.00        0.00    0.012675     0.025     0.063    58.481    29.360    0b1001    20190612T101851944105
   10      -0.3687      0.00        0.00    0.006375     0.000     0.000    57.843    29.360    0b1001    20190612T101852903579
    0      -0.0000      0.00        0.00    0.000125     0.000     0.000    -0.000    29.360    0b1001    20190612T101853862331
