Vset[DAC]   V[V]      dVRMS[mV]   dVpp[mV]   I[A]     dIRMS[mA]   dIpp[mA]   R[ohm]   T[C]     State      Timestamp
  130      -4.7691      0.57        1.25    0.073625     0.000     0.000    64.776    24.350    0b1111    20190529T124024860159
  120      -4.5400      0.00        0.00    0.070250     0.000     0.000    64.626    24.350    0b1111    20190529T124025819479
  110      -4.1600      0.00        0.00    0.064687     0.000     0.000    64.309    24.350    0b1111    20190529T124026780836
  100      -3.7825      0.00        0.00    0.059187     0.000     0.000    63.907    24.350    0b1111    20190529T124027738747
   90      -3.4037      0.00        0.00    0.053631     0.019     0.063    63.466    24.382    0b1111    20190529T124028700585
   80      -3.0254      0.57        1.25    0.048125     0.000     0.000    62.865    24.350    0b1111    20190529T124029659200
   70      -2.6466      0.57        1.25    0.042625     0.000     0.000    62.091    24.350    0b1111    20190529T124030616675
   60      -2.2662      0.00        0.00    0.037062     0.000     0.000    61.147    24.413    0b1111    20190529T124031580061
   50      -1.8869      0.62        1.25    0.031500     0.000     0.000    59.901    24.350    0b1111    20190529T124032544986
   40      -1.5081      0.62        1.25    0.026000     0.000     0.000    58.005    24.350    0b1111    20190529T124033501414
   30      -1.1300      0.00        0.00    0.020475     0.031     0.063    55.189    24.382    0b1111    20190529T124034459718
   20      -0.7512      0.00        0.00    0.015000     0.000     0.000    50.083    24.382    0b1111    20190529T124035419358
   10      -0.3725      0.00        0.00    0.009437     0.000     0.000    39.470    24.350    0b1111    20190529T124036378352
    0      -0.0000      0.00        0.00    0.003937     0.000     0.000    -0.000    24.413    0b1111    20190529T124037336203
