Vset[DAC]   V[V]      dVRMS[mV]   dVpp[mV]   I[A]     dIRMS[mA]   dIpp[mA]   R[ohm]   T[C]     State      Timestamp
  130      -4.7825      0.00        0.00    0.044500     0.000     0.000   107.472    29.011       0b0    20190610T114208639154
  120      -4.6787      0.00        0.00    0.043394     0.029     0.063   107.821    29.011       0b0    20190610T114209597104
  110      -4.2875      0.00        0.00    0.039312     0.000     0.000   109.062    29.011       0b0    20190610T114210556109
  100      -3.8975      0.00        0.00    0.035194     0.019     0.063   110.744    29.011       0b0    20190610T114211514539
   90      -3.5088      0.00        0.00    0.031125     0.000     0.000   112.731    29.011       0b0    20190610T114212471597
   80      -3.1187      0.00        0.00    0.027031     0.031     0.062   115.376    29.011       0b0    20190610T114213428659
   70      -2.7288      0.00        0.00    0.022937     0.000     0.000   118.965    29.011       0b0    20190610T114214388686
   60      -2.3363      0.00        0.00    0.018856     0.029     0.062   123.898    29.011       0b0    20190610T114215346048
   50      -1.9462      0.00        0.00    0.014775     0.031     0.063   131.726    29.042       0b0    20190610T114216304615
   40      -1.5571      0.57        1.25    0.010688     0.000     0.000   145.696    29.011       0b0    20190610T114217262274
   30      -1.1675      0.00        0.00    0.006638     0.025     0.063   175.895    28.979       0b0    20190610T114218218590
   20      -0.7775      0.00        0.00    0.002625     0.000     0.000   296.190    29.011       0b0    20190610T114219175953
   10      -0.3875      0.00        0.00    0.000000     0.000     0.000     1.000    29.011       0b0    20190610T114220135481
    0      -0.0000      0.00        0.00    0.000000     0.000     0.000     1.000    29.011       0b0    20190610T114221091804
