Vset[DAC]   V[V]      dVRMS[mV]   dVpp[mV]   I[A]     dIRMS[mA]   dIpp[mA]   R[ohm]   T[C]     State      Timestamp
  130      -4.7850      0.00        0.00    0.061313     0.000     0.000    78.043    24.731     0b111    20190619T123830857455
  120      -4.6512      0.00        0.00    0.059500     0.000     0.000    78.172    24.731     0b111    20190619T123831825937
  110      -4.2625      0.00        0.00    0.054187     0.000     0.000    78.662    24.731     0b111    20190619T123832790461
  100      -3.8750      0.00        0.00    0.048938     0.000     0.000    79.183    24.731     0b111    20190619T123833751604
   90      -3.4875      0.00        0.00    0.043663     0.031     0.063    79.874    24.731     0b111    20190619T123834721834
   80      -3.1000      0.00        0.00    0.038375     0.000     0.000    80.782    24.731     0b111    20190619T123835688942
   70      -2.7125      0.00        0.00    0.033125     0.000     0.000    81.887    24.731     0b111    20190619T123836657795
   60      -2.3225      0.00        0.00    0.027813     0.000     0.000    83.506    24.699     0b111    20190619T123837625607
   50      -1.9338      0.00        0.00    0.022562     0.000     0.000    85.706    24.731     0b111    20190619T123838591658
   40      -1.5450      0.00        0.00    0.017294     0.029     0.063    89.339    24.731     0b111    20190619T123839556683
   30      -1.1575      0.00        0.00    0.012000     0.000     0.000    96.458    24.731     0b111    20190619T123840524113
   20      -0.7687      0.00        0.00    0.006806     0.019     0.063   112.948    24.731     0b111    20190619T123841488073
   10      -0.3813      0.00        0.00    0.001544     0.029     0.063   246.964    24.731     0b111    20190619T123842456958
    0      -0.0000      0.00        0.00    0.000000     0.000     0.000     1.000    24.731     0b111    20190619T123843424181
