Vset[DAC]   V[V]      dVRMS[mV]   dVpp[mV]   I[A]     dIRMS[mA]   dIpp[mA]   R[ohm]   T[C]     State      Timestamp
  130      -4.7837      0.00        0.00    0.083500     0.000     0.000    57.290    24.382    0b1001    20190618T150958030062
  120      -4.5274      0.37        1.25    0.079187     0.000     0.000    57.173    24.318    0b1001    20190618T150958991991
  110      -4.1487      0.00        0.00    0.072925     0.025     0.063    56.891    24.350    0b1001    20190618T150959957525
  100      -3.7713      0.00        0.00    0.066675     0.025     0.062    56.562    24.350    0b1001    20190618T151000920785
   90      -3.3950      0.00        0.00    0.060400     0.031     0.063    56.209    24.382    0b1001    20190618T151001884043
   80      -3.0174      0.38        1.25    0.054125     0.000     0.000    55.748    24.350    0b1001    20190618T151002847117
   70      -2.6388      0.00        0.00    0.047875     0.000     0.000    55.117    24.382    0b1001    20190618T151003810755
   60      -2.2587      0.00        0.00    0.041600     0.031     0.063    54.297    24.382    0b1001    20190618T151004774990
   50      -1.8813      0.00        0.00    0.035375     0.000     0.000    53.180    24.382    0b1001    20190618T151005736724
   40      -1.5040      0.50        1.25    0.029125     0.000     0.000    51.639    24.350    0b1001    20190618T151006698459
   30      -1.1271      0.57        1.25    0.022875     0.000     0.000    49.273    24.413    0b1001    20190618T151007660808
   20      -0.7500      0.00        0.00    0.016687     0.000     0.000    44.944    24.350    0b1001    20190618T151008624679
   10      -0.3725      0.00        0.00    0.010438     0.000     0.000    35.689    24.382    0b1001    20190618T151009585294
    0      -0.0000      0.00        0.00    0.004187     0.000     0.000    -0.000    24.382    0b1001    20190618T151010549623
