Vset[DAC]   V[V]      dVRMS[mV]   dVpp[mV]   I[A]     dIRMS[mA]   dIpp[mA]   R[ohm]   T[C]     State      Timestamp
  130      -4.7675      0.00        0.00    0.065500     0.000     0.000    72.786    24.128    0b1111    20190521T155716409989
  120      -4.7550      0.00        0.00    0.065313     0.000     0.000    72.804    24.128    0b1111    20190521T155717362567
  110      -4.5223      0.50        1.25    0.061887     0.025     0.063    73.072    24.128    0b1111    20190521T155718321749
  100      -4.1100      0.00        0.00    0.055931     0.019     0.063    73.483    24.128    0b1111    20190521T155719282461
   90      -3.7000      0.00        0.00    0.049938     0.000     0.000    74.093    24.128    0b1111    20190521T155720241675
   80      -3.2900      0.00        0.00    0.043938     0.000     0.000    74.879    24.160    0b1111    20190521T155721202183
   70      -2.8788      0.00        0.00    0.038000     0.000     0.000    75.757    24.160    0b1111    20190521T155722161915
   60      -2.4650      0.00        0.00    0.031938     0.000     0.000    77.182    24.128    0b1111    20190521T155723119246
   50      -2.0538      0.00        0.00    0.025938     0.000     0.000    79.181    24.128    0b1111    20190521T155724076444
   40      -1.6412      0.00        0.00    0.019881     0.019     0.063    82.553    24.160    0b1111    20190521T155725035587
   30      -1.2300      0.00        0.00    0.013869     0.019     0.063    88.689    24.160    0b1111    20190521T155725996196
   20      -0.8187      0.00        0.00    0.007875     0.000     0.000   103.968    24.160    0b1111    20190521T155726951546
   10      -0.4080      0.61        1.25    0.001813     0.000     0.000   225.103    24.160    0b1111    20190521T155727911700
    0      -0.0000      0.00        0.00    0.000000     0.000     0.000     1.000    24.128    0b1111    20190521T155728868434
