Vset[DAC]   V[V]      dVRMS[mV]   dVpp[mV]   I[A]     dIRMS[mA]   dIpp[mA]   R[ohm]   T[C]     State      Timestamp
  130      -4.8037      0.00        0.00    0.047563     0.000     0.000   100.999    23.684       0b0    20190524T181736988883
  120      -4.7212      0.00        0.00    0.046687     0.000     0.000   101.124    23.716       0b0    20190524T181737947707
  110      -4.3263      0.00        0.00    0.042563     0.000     0.000   101.645    23.748       0b0    20190524T181738905227
  100      -3.9325      0.00        0.00    0.038438     0.000     0.000   102.309    23.716       0b0    20190524T181739863580
   90      -3.5390      0.50        1.25    0.034300     0.025     0.063   103.178    23.716       0b0    20190524T181740819770
   80      -3.1450      0.00        0.00    0.030125     0.000     0.000   104.398    23.716       0b0    20190524T181741776920
   70      -2.7500      0.00        0.00    0.026000     0.000     0.000   105.769    23.716       0b0    20190524T181742738660
   60      -2.3538      0.00        0.00    0.021875     0.000     0.000   107.600    23.716       0b0    20190524T181743697519
   50      -1.9613      0.00        0.00    0.017750     0.000     0.000   110.493    23.716       0b0    20190524T181744655481
   40      -1.5687      0.00        0.00    0.013625     0.000     0.000   115.138    23.684       0b0    20190524T181745614942
   30      -1.1762      0.00        0.00    0.009500     0.000     0.000   123.816    23.716       0b0    20190524T181746573080
   20      -0.7831      0.63        1.25    0.005437     0.000     0.000   144.023    23.684       0b0    20190524T181747534209
   10      -0.3900      0.00        0.00    0.001337     0.031     0.063   291.589    23.684       0b0    20190524T181748494820
    0      -0.0000      0.00        0.00    0.000000     0.000     0.000     1.000    23.684       0b0    20190524T181749455306
