Vset[DAC]   V[V]      dVRMS[mV]   dVpp[mV]   I[A]     dIRMS[mA]   dIpp[mA]   R[ohm]   T[C]     State      Timestamp
  130      -4.7941      0.57        1.25    0.047250     0.000     0.000   101.463    24.192       0b0    20190418T103709276686
  120      -4.7613      0.00        0.00    0.046875     0.000     0.000   101.573    24.192       0b0    20190418T103710231913
  110      -4.3656      0.62        1.25    0.042713     0.031     0.062   102.210    24.192       0b0    20190418T103711189649
  100      -3.9688      0.00        0.00    0.038562     0.000     0.000   102.917    24.192       0b0    20190418T103712145256
   90      -3.5737      0.00        0.00    0.034375     0.000     0.000   103.964    24.192       0b0    20190418T103713100831
   80      -3.1775      0.00        0.00    0.030231     0.029     0.063   105.106    24.223       0b0    20190418T103714056981
   70      -2.7804      0.57        1.25    0.026062     0.000     0.000   106.681    24.160       0b0    20190418T103715013712
   60      -2.3813      0.00        0.00    0.021875     0.000     0.000   108.857    24.192       0b0    20190418T103715968694
   50      -1.9859      0.57        1.25    0.017750     0.000     0.000   111.880    24.160       0b0    20190418T103716923552
   40      -1.5893      0.61        1.25    0.013563     0.000     0.000   117.180    24.192       0b0    20190418T103717880417
   30      -1.1925      0.00        0.00    0.009437     0.000     0.000   126.358    24.160       0b0    20190418T103718845178
   20      -0.7960      0.50        1.25    0.005312     0.000     0.000   149.835    24.160       0b0    20190418T103719811035
   10      -0.3986      0.37        1.25    0.001187     0.000     0.000   335.684    24.192       0b0    20190418T103720778538
    0      -0.0000      0.00        0.00    0.000000     0.000     0.000     1.000    24.192       0b0    20190418T103721746121
