Vavg[V]      Itot[A]     Tboard[C]     Taux1[C]     Taux2[C]     LUstate              Timestamp
 2.25380     4.38250     25.49144      28.82055     27.99620    0b1111111111111111    20190531T141041192999
 2.25375     4.38417     25.49144      28.85225     27.99620    0b1111111111111111    20190531T141041614323
 2.25380     4.38500     25.49144      28.85225     28.02790    0b1111111111111111    20190531T141042034104
 2.25384     4.38333     25.52315      28.88396     28.02790    0b1111111111111111    20190531T141042453058
 2.25384     4.38333     25.74509      28.88396     27.99620    0b1111111111111111    20190531T141042873931
 2.25398     4.38500     27.26696      28.88396     28.02790    0b1111111111111111    20190531T141043294542
 2.25408     4.38333     24.35003      28.88396     28.02790    0b1111111111111111    20190531T141043714178
 2.25422     4.38500     29.45466      28.88396     28.02790    0b1111111111111111    20190531T141044134372
 2.25431     4.38333     30.69119      28.88396     28.05961    0b1111111111111111    20190531T141044552903
 2.25441     4.38500     31.83259      28.88396     28.05961    0b1111111111111111    20190531T141044972879
 2.25450     4.38417     33.10082      28.88396     28.05961    0b1111111111111111    20190531T141045392800
 2.25469     4.38750     34.27394      28.88396     28.05961    0b1111111111111111    20190531T141045813506
 2.25473     4.38500     34.40076      28.91566     28.02790    0b1111111111111111    20190531T141046235098
 2.25478     4.38583     35.09829      28.88396     28.02790    0b1111111111111111    20190531T141046654357
 2.25483     4.38667     36.49334      28.91566     28.05961    0b1111111111111111    20190531T141047072724
 2.25488     4.38667     37.50793      28.88396     28.09131    0b1111111111111111    20190531T141047490717
 2.25511     4.38750     38.68104      28.91566     28.05961    0b1111111111111111    20190531T141047909133
 2.25525     4.38833     39.53710      28.91566     28.05961    0b1111111111111111    20190531T141048327211
 2.25534     4.38750     40.39315      28.88396     28.09131    0b1111111111111111    20190531T141048747329
 2.25539     4.38750     41.18580      28.91566     28.05961    0b1111111111111111    20190531T141049167566
 2.25553     4.38667     41.81991      28.91566     28.05961    0b1111111111111111    20190531T141049588069
 2.25553     4.38833     42.42232      28.88396     28.05961    0b1111111111111111    20190531T141050006650
 2.25558     4.38583     43.05644      28.91566     28.09131    0b1111111111111111    20190531T141050426103
 2.25581     4.38917     43.75396      28.91566     28.12302    0b1111111111111111    20190531T141050845052
 2.25577     4.38833     44.41978      28.91566     28.12302    0b1111111111111111    20190531T141051265797
 2.25577     4.38667     45.02219      28.94737     28.09131    0b1111111111111111    20190531T141051684438
 2.25591     4.38667     45.65631      28.94737     28.09131    0b1111111111111111    20190531T141052104039
 2.25600     4.39000     46.06848      28.94737     28.09131    0b1111111111111111    20190531T141052523658
 2.25623     4.38917     46.67089      28.94737     28.09131    0b1111111111111111    20190531T141052943264
 2.25642     4.38750     47.14648      28.91566     28.09131    0b1111111111111111    20190531T141053361632
 2.25642     4.38917     47.62207      28.94737     28.12302    0b1111111111111111    20190531T141053783247
 2.25666     4.38833     48.12936      28.94737     28.09131    0b1111111111111111    20190531T141054202113
 2.25670     4.38750     48.57324      28.91566     28.12302    0b1111111111111111    20190531T141054622150
 2.25684     4.38917     49.04883      28.91566     28.12302    0b1111111111111111    20190531T141055040970
 2.25698     4.38917     49.46100      28.94737     28.12302    0b1111111111111111    20190531T141055459440
 2.25708     4.39250     49.84147      28.94737     28.12302    0b1111111111111111    20190531T141055878088
 2.25708     4.38917     50.22194      28.94737     28.12302    0b1111111111111111    20190531T141056298840
 2.25713     4.39167     50.47559      28.94737     28.12302    0b1111111111111111    20190531T141056718083
 2.25713     4.39000     50.76094      28.97907     28.12302    0b1111111111111111    20190531T141057137474
 2.25713     4.39167     51.14141      28.94737     28.12302    0b1111111111111111    20190531T141057557360
 2.25717     4.39000     51.49017      28.94737     28.12302    0b1111111111111111    20190531T141057978191
 2.25717     4.39000     51.80723      28.94737     28.12302    0b1111111111111111    20190531T141058398306
 2.25717     4.39167     52.18770      28.94737     28.12302    0b1111111111111111    20190531T141058818844
 2.25717     4.39000     52.47305      28.94737     28.12302    0b1111111111111111    20190531T141059238062
 2.25727     4.39083     52.75840      28.97907     28.12302    0b1111111111111111    20190531T141059658461
 2.25727     4.39250     53.04375      28.97907     28.15472    0b1111111111111111    20190531T141100077893
 2.25741     4.39250     53.45593      28.97907     28.12302    0b1111111111111111    20190531T141100496820
 2.25741     4.39250     53.83640      28.94737     28.15472    0b1111111111111111    20190531T141100916893
 2.25745     4.39167     54.15346      28.94737     28.12302    0b1111111111111111    20190531T141101337236
 2.25745     4.39333     54.43881      28.97907     28.15472    0b1111111111111111    20190531T141101758797
 2.25745     4.39333     54.75587      28.94737     28.12302    0b1111111111111111    20190531T141102179507
 2.25755     4.39083     55.00951      28.94737     28.15472    0b1111111111111111    20190531T141102598780
 2.25759     4.39250     55.23145      28.94737     28.12302    0b1111111111111111    20190531T141103019019
 2.25764     4.39333     55.51680      28.97907     28.09131    0b1111111111111111    20190531T141103437986
 2.25769     4.39333     55.80216      28.94737     28.12302    0b1111111111111111    20190531T141103857885
 2.25787     4.39417     56.05580      28.97907     28.15472    0b1111111111111111    20190531T141104277969
 2.25787     4.39417     56.30945      28.97907     28.15472    0b1111111111111111    20190531T141104699453
 2.25792     4.39167     56.68992      28.97907     28.12302    0b1111111111111111    20190531T141105118969
 2.25802     4.39500     56.75333      28.94737     28.15472    0b1111111111111111    20190531T141105538287
 2.25797     4.39417     56.94356      28.97907     28.15472    0b1111111111111111    20190531T141105957942
 2.25806     4.39333     57.19721      28.97907     28.15472    0b1111111111111111    20190531T141106376909
 2.25825     4.39583     57.32403      28.97907     28.15472    0b1111111111111111    20190531T141106797049
 2.25825     4.39500     57.51427      28.94737     28.15472    0b1111111111111111    20190531T141107218714
 2.25834     4.39417     57.73621      28.97907     28.15472    0b1111111111111111    20190531T141107638457
 2.25848     4.39583     57.86303      28.97907     28.15472    0b1111111111111111    20190531T141108054904
 2.25834     4.39667     58.02156      28.97907     28.15472    0b1111111111111111    20190531T141108475645
 2.25858     4.39583     58.11668      28.97907     28.15472    0b1111111111111111    20190531T141108896515
