Vset[DAC]   V[V]      dVRMS[mV]   dVpp[mV]   I[A]     dIRMS[mA]   dIpp[mA]   R[ohm]   T[C]     State      Timestamp
  130      -4.7687      0.00        0.00    0.076625     0.000     0.000    62.235    24.413    0b1001    20190606T174624006829
  120      -4.5475      0.00        0.00    0.073000     0.000     0.000    62.295    24.413    0b1001    20190606T174624964046
  110      -4.1681      0.62        1.25    0.066769     0.029     0.062    62.426    24.445    0b1001    20190606T174625923348
  100      -3.7900      0.00        0.00    0.060562     0.000     0.000    62.580    24.477    0b1001    20190606T174626881056
   90      -3.4120      0.61        1.25    0.054375     0.000     0.000    62.749    24.445    0b1001    20190606T174627841673
   80      -3.0329      0.57        1.25    0.048188     0.000     0.000    62.939    24.445    0b1001    20190606T174628800905
   70      -2.6540      0.50        1.25    0.042000     0.000     0.000    63.190    24.477    0b1001    20190606T174629764268
   60      -2.2728      0.50        1.25    0.035750     0.000     0.000    63.573    24.445    0b1001    20190606T174630724879
   50      -1.8938      0.00        0.00    0.029562     0.000     0.000    64.059    24.477    0b1001    20190606T174631684737
   40      -1.5150      0.00        0.00    0.023375     0.000     0.000    64.813    24.477    0b1001    20190606T174632640747
   30      -1.1363      0.00        0.00    0.017187     0.000     0.000    66.109    24.477    0b1001    20190606T174633596532
   20      -0.7575      0.00        0.00    0.011025     0.031     0.063    68.707    24.509    0b1001    20190606T174634554774
   10      -0.3780      0.61        1.25    0.004825     0.025     0.063    78.342    24.477    0b1001    20190606T174635513789
    0      -0.0000      0.00        0.00    0.000000     0.000     0.000     1.000    24.477    0b1001    20190606T174636472149
