Vset[DAC]   V[V]      dVRMS[mV]   dVpp[mV]   I[A]     dIRMS[mA]   dIpp[mA]   R[ohm]   T[C]     State      Timestamp
  130      -4.7425      0.00        0.00    0.089063     0.000     0.000    53.249    25.333    0b1001    20190604T144746427761
  120      -4.6175      0.00        0.00    0.086812     0.000     0.000    53.189    25.333    0b1001    20190604T144747386251
  110      -4.2321      0.57        1.25    0.080250     0.000     0.000    52.737    25.365    0b1001    20190604T144748343273
  100      -3.8475      0.00        0.00    0.073750     0.000     0.000    52.169    25.365    0b1001    20190604T144749298608
   90      -3.4625      0.00        0.00    0.067250     0.000     0.000    51.487    25.365    0b1001    20190604T144750256847
   80      -3.0775      0.00        0.00    0.060750     0.000     0.000    50.658    25.333    0b1001    20190604T144751211834
   70      -2.6925      0.00        0.00    0.054250     0.000     0.000    49.631    25.333    0b1001    20190604T144752167888
   60      -2.3051      0.37        1.25    0.047688     0.000     0.000    48.338    25.365    0b1001    20190604T144753126554
   50      -1.9200      0.00        0.00    0.041187     0.000     0.000    46.616    25.396    0b1001    20190604T144754083288
   40      -1.5350      0.00        0.00    0.034669     0.029     0.062    44.276    25.365    0b1001    20190604T144755041024
   30      -1.1500      0.00        0.00    0.028156     0.031     0.062    40.844    25.365    0b1001    20190604T144755996758
   20      -0.7650      0.00        0.00    0.021688     0.000     0.000    35.274    25.396    0b1001    20190604T144756955868
   10      -0.3800      0.00        0.00    0.015188     0.000     0.000    25.021    25.365    0b1001    20190604T144757913602
    0      -0.0000      0.00        0.00    0.008669     0.029     0.063    -0.000    25.365    0b1001    20190604T144758869726
