Vset[DAC]   V[V]      dVRMS[mV]   dVpp[mV]   I[A]     dIRMS[mA]   dIpp[mA]   R[ohm]   T[C]     State      Timestamp
  130      -4.7665      0.50        1.25    0.056125     0.000     0.000    84.927    29.550     0b111    20190612T112837843197
  120      -4.6202      0.50        1.25    0.054125     0.000     0.000    85.363    29.581     0b111    20190612T112838814301
  110      -4.2350      0.00        0.00    0.048875     0.000     0.000    86.650    29.581     0b111    20190612T112839769396
  100      -3.8500      0.00        0.00    0.043650     0.031     0.063    88.202    29.581     0b111    20190612T112840726995
   90      -3.4652      0.50        1.25    0.038438     0.000     0.000    90.153    29.613     0b111    20190612T112841686407
   80      -3.0800      0.00        0.00    0.033187     0.000     0.000    92.806    29.613     0b111    20190612T112842643554
   70      -2.6949      0.37        1.25    0.028000     0.000     0.000    96.246    29.613     0b111    20190612T112843601781
   60      -2.3070      0.61        1.25    0.022750     0.000     0.000   101.407    29.613     0b111    20190612T112844562288
   50      -1.9225      0.00        0.00    0.017563     0.000     0.000   109.466    29.613     0b111    20190612T112845521470
   40      -1.5375      0.00        0.00    0.012375     0.000     0.000   124.242    29.613     0b111    20190612T112846482282
   30      -1.1522      0.50        1.25    0.007131     0.019     0.063   161.578    29.613     0b111    20190612T112847441642
   20      -0.7663      0.00        0.00    0.002000     0.000     0.000   383.125    29.645     0b111    20190612T112848401132
   10      -0.3813      0.00        0.00    0.000000     0.000     0.000     1.000    29.613     0b111    20190612T112849361220
    0      -0.0000      0.00        0.00    0.000000     0.000     0.000     1.000    29.645     0b111    20190612T112850321745
