Vset[DAC]   V[V]      dVRMS[mV]   dVpp[mV]   I[A]     dIRMS[mA]   dIpp[mA]   R[ohm]   T[C]     State      Timestamp
  130      -4.7812      0.00        0.00    0.067375     0.000     0.000    70.965    25.016    0b1111    20190604T151620245686
  120      -4.6737      0.00        0.00    0.065681     0.019     0.062    71.158    25.016    0b1111    20190604T151621202830
  110      -4.2837      0.00        0.00    0.059813     0.000     0.000    71.620    25.048    0b1111    20190604T151622160159
  100      -3.8950      0.00        0.00    0.054000     0.000     0.000    72.130    25.048    0b1111    20190604T151623118021
   90      -3.5063      0.00        0.00    0.048188     0.000     0.000    72.763    25.048    0b1111    20190604T151624076032
   80      -3.1175      0.00        0.00    0.042375     0.000     0.000    73.569    25.048    0b1111    20190604T151625031353
   70      -2.7288      0.00        0.00    0.036588     0.031     0.063    74.581    25.048    0b1111    20190604T151625989003
   60      -2.3375      0.00        0.00    0.030750     0.000     0.000    76.016    25.048    0b1111    20190604T151626950390
   50      -1.9475      0.00        0.00    0.024956     0.029     0.063    78.037    25.048    0b1111    20190604T151627919508
   40      -1.5575      0.00        0.00    0.019187     0.000     0.000    81.173    25.048    0b1111    20190604T151628880422
   30      -1.1675      0.00        0.00    0.013388     0.025     0.062    87.208    25.048    0b1111    20190604T151629835535
   20      -0.7775      0.00        0.00    0.007687     0.000     0.000   101.138    25.079    0b1111    20190604T151630793052
   10      -0.3879      0.57        1.25    0.001938     0.000     0.000   200.194    25.048    0b1111    20190604T151631749787
    0      -0.0000      0.00        0.00    0.000000     0.000     0.000     1.000    25.079    0b1111    20190604T151632706399
