Vset[DAC]   V[V]      dVRMS[mV]   dVpp[mV]   I[A]     dIRMS[mA]   dIpp[mA]   R[ohm]   T[C]     State      Timestamp
  130      -4.7812      0.00        0.00    0.072438     0.000     0.000    66.005    31.135    0b1111    20190611T144453206481
  120      -4.5971      0.57        1.25    0.069750     0.000     0.000    65.909    31.135    0b1111    20190611T144454161708
  110      -4.2125      0.00        0.00    0.064081     0.029     0.063    65.737    31.167    0b1111    20190611T144455119074
  100      -3.8290      0.50        1.25    0.058444     0.019     0.063    65.516    31.167    0b1111    20190611T144456078157
   90      -3.4463      0.00        0.00    0.052812     0.000     0.000    65.254    31.167    0b1111    20190611T144457034294
   80      -3.0625      0.00        0.00    0.047188     0.000     0.000    64.901    31.167    0b1111    20190611T144457992501
   70      -2.6788      0.00        0.00    0.041569     0.019     0.063    64.441    31.198    0b1111    20190611T144458948763
   60      -2.2929      0.57        1.25    0.035938     0.000     0.000    63.802    31.198    0b1111    20190611T144459907022
   50      -1.9100      0.00        0.00    0.030313     0.000     0.000    63.010    31.198    0b1111    20190611T144500864963
   40      -1.5263      0.00        0.00    0.024694     0.019     0.063    61.807    31.198    0b1111    20190611T144501822407
   30      -1.1429      0.57        1.25    0.019125     0.000     0.000    59.758    31.198    0b1111    20190611T144502778463
   20      -0.7589      0.37        1.25    0.013563     0.000     0.000    55.954    31.198    0b1111    20190611T144503734053
   10      -0.3763      0.00        0.00    0.007938     0.000     0.000    47.402    31.198    0b1111    20190611T144504692810
    0      -0.0000      0.00        0.00    0.002312     0.000     0.000    -0.000    31.167    0b1111    20190611T144505651911
