Vset[DAC]   V[V]      dVRMS[mV]   dVpp[mV]   I[A]     dIRMS[mA]   dIpp[mA]   R[ohm]   T[C]     State      Timestamp
  130      -4.7915      0.50        1.25    0.058688     0.000     0.000    81.644    23.874       0b0    20190411T171052288884
  120      -4.7793      0.61        1.25    0.058531     0.031     0.063    81.653    23.843       0b0    20190411T171053243736
  110      -4.4225      0.00        0.00    0.054750     0.000     0.000    80.776    23.874       0b0    20190411T171054199345
  100      -4.0200      0.00        0.00    0.050500     0.000     0.000    79.604    23.874       0b0    20190411T171055155422
   90      -3.6184      0.57        1.25    0.046238     0.025     0.062    78.256    23.843       0b0    20190411T171056109696
   80      -3.2161      0.38        1.25    0.042000     0.000     0.000    76.574    23.843       0b0    20190411T171057064092
   70      -2.8125      0.00        0.00    0.037750     0.000     0.000    74.503    23.843       0b0    20190411T171058020906
   60      -2.4083      0.61        1.25    0.033500     0.000     0.000    71.888    23.843       0b0    20190411T171058975145
   50      -2.0075      0.00        0.00    0.029294     0.029     0.063    68.530    23.874       0b0    20190411T171059932252
   40      -1.6062      0.00        0.00    0.025062     0.000     0.000    64.090    23.874       0b0    20190411T171100885861
   30      -1.2063      0.00        0.00    0.020875     0.000     0.000    57.784    23.843       0b0    20190411T171101842596
   20      -0.8037      0.00        0.00    0.016687     0.000     0.000    48.165    23.811       0b0    20190411T171102796424
   10      -0.4035      0.50        1.25    0.012500     0.000     0.000    32.280    23.843       0b0    20190411T171103751065
    0      -0.0012      0.00        0.00    0.008294     0.029     0.063     0.151    23.843       0b0    20190411T171104706837
