Vset[DAC]   V[V]      dVRMS[mV]   dVpp[mV]   I[A]     dIRMS[mA]   dIpp[mA]   R[ohm]   T[C]     State      Timestamp
  130      -4.7700      0.00        0.00    0.051806     0.019     0.063    92.074    29.867       0b0    20190612T102834773186
  120      -4.6750      0.00        0.00    0.050781     0.031     0.063    92.062    29.835       0b0    20190612T102835732796
  110      -4.2847      0.50        1.25    0.046687     0.000     0.000    91.775    29.803       0b0    20190612T102836689173
  100      -3.8937      0.00        0.00    0.042625     0.000     0.000    91.349    29.835       0b0    20190612T102837646831
   90      -3.5050      0.00        0.00    0.038562     0.000     0.000    90.891    29.867       0b0    20190612T102838606703
   80      -3.1150      0.00        0.00    0.034500     0.000     0.000    90.290    29.835       0b0    20190612T102839579478
   70      -2.7250      0.00        0.00    0.030394     0.029     0.062    89.657    29.835       0b0    20190612T102840543466
   60      -2.3325      0.00        0.00    0.026312     0.000     0.000    88.646    29.803       0b0    20190612T102841502327
   50      -1.9438      0.00        0.00    0.022250     0.000     0.000    87.360    29.803       0b0    20190612T102842461342
   40      -1.5550      0.00        0.00    0.018187     0.000     0.000    85.498    29.772       0b0    20190612T102843428205
   30      -1.1650      0.00        0.00    0.014119     0.019     0.063    82.514    29.803       0b0    20190612T102844388661
   20      -0.7750      0.00        0.00    0.010075     0.025     0.063    76.923    29.803       0b0    20190612T102845347526
   10      -0.3862      0.00        0.00    0.006000     0.000     0.000    64.375    29.803       0b0    20190612T102846304507
    0      -0.0000      0.00        0.00    0.001938     0.000     0.000    -0.000    29.803       0b0    20190612T102847263931
