Vset[DAC]   V[V]      dVRMS[mV]   dVpp[mV]   I[A]     dIRMS[mA]   dIpp[mA]   R[ohm]   T[C]     State      Timestamp
  130      -4.7613      0.00        0.00    0.080312     0.000     0.000    59.284    29.201    0b1111    20190612T144326331452
  120      -4.7351      0.37        1.25    0.079938     0.000     0.000    59.235    29.201    0b1111    20190612T144327290179
  110      -4.3413      0.00        0.00    0.074119     0.019     0.062    58.572    29.264    0b1111    20190612T144328248795
  100      -3.9463      0.00        0.00    0.068250     0.000     0.000    57.821    29.264    0b1111    20190612T144329207615
   90      -3.5513      0.00        0.00    0.062437     0.000     0.000    56.877    29.233    0b1111    20190612T144330164393
   80      -3.1572      0.50        1.25    0.056619     0.019     0.063    55.763    29.233    0b1111    20190612T144331121374
   70      -2.7612      0.00        0.00    0.050750     0.000     0.000    54.409    29.264    0b1111    20190612T144332080206
   60      -2.3647      0.50        1.25    0.044888     0.025     0.063    52.682    29.264    0b1111    20190612T144333035728
   50      -1.9700      0.00        0.00    0.039062     0.000     0.000    50.432    29.264    0b1111    20190612T144333992580
   40      -1.5757      0.61        1.25    0.033250     0.000     0.000    47.391    29.264    0b1111    20190612T144334951345
   30      -1.1813      0.00        0.00    0.027425     0.025     0.062    43.072    29.264    0b1111    20190612T144335910630
   20      -0.7875      0.00        0.00    0.021625     0.000     0.000    36.416    29.264    0b1111    20190612T144336870269
   10      -0.3925      0.00        0.00    0.015762     0.025     0.063    24.901    29.264    0b1111    20190612T144337824721
    0      -0.0000      0.00        0.00    0.009938     0.000     0.000    -0.000    29.264    0b1111    20190612T144338781721
