Vset[DAC]   V[V]      dVRMS[mV]   dVpp[mV]   I[A]     dIRMS[mA]   dIpp[mA]   R[ohm]   T[C]     State      Timestamp
  130      -4.7912      0.00        0.00    0.070312     0.000     0.000    68.142    23.526    0b1111    20190624T114342474147
  120      -4.7663      0.00        0.00    0.069881     0.019     0.063    68.205    23.526    0b1111    20190624T114343439626
  110      -4.3687      0.00        0.00    0.064006     0.019     0.062    68.255    23.557    0b1111    20190624T114344403065
  100      -3.9700      0.00        0.00    0.058125     0.000     0.000    68.301    23.557    0b1111    20190624T114345372620
   90      -3.5725      0.00        0.00    0.052250     0.000     0.000    68.373    23.557    0b1111    20190624T114346343477
   80      -3.1750      0.00        0.00    0.046375     0.000     0.000    68.464    23.557    0b1111    20190624T114347315212
   70      -2.7770      0.61        1.25    0.040500     0.000     0.000    68.568    23.557    0b1111    20190624T114348282657
   60      -2.3771      0.57        1.25    0.034625     0.000     0.000    68.653    23.557    0b1111    20190624T114349253757
   50      -1.9800      0.00        0.00    0.028750     0.000     0.000    68.870    23.557    0b1111    20190624T114350220416
   40      -1.5837      0.00        0.00    0.022937     0.000     0.000    69.046    23.557    0b1111    20190624T114351189000
   30      -1.1869      0.62        1.25    0.017075     0.025     0.063    69.510    23.589    0b1111    20190624T114352155136
   20      -0.7900      0.00        0.00    0.011313     0.000     0.000    69.834    23.557    0b1111    20190624T114353119755
   10      -0.3937      0.00        0.00    0.005494     0.019     0.063    71.672    23.557    0b1111    20190624T114354085527
    0      -0.0000      0.00        0.00    0.000000     0.000     0.000     1.000    23.557    0b1111    20190624T114355051659
