Vset[DAC]   V[V]      dVRMS[mV]   dVpp[mV]   I[A]     dIRMS[mA]   dIpp[mA]   R[ohm]   T[C]     State      Timestamp
  130      -4.7739      0.38        1.25    0.061000     0.000     0.000    78.260    24.794    0b1111    20190625T143311205366
  120      -4.5751      0.37        1.25    0.058088     0.031     0.063    78.763    24.826    0b1111    20190625T143312173401
  110      -4.1938      0.00        0.00    0.052562     0.000     0.000    79.786    24.826    0b1111    20190625T143313138486
  100      -3.8125      0.00        0.00    0.047037     0.031     0.063    81.052    24.826    0b1111    20190625T143314101708
   90      -3.4325      0.00        0.00    0.041500     0.000     0.000    82.711    24.826    0b1111    20190625T143315065571
   80      -3.0513      0.00        0.00    0.036000     0.000     0.000    84.757    24.826    0b1111    20190625T143316031678
   70      -2.6700      0.00        0.00    0.030500     0.000     0.000    87.541    24.857    0b1111    20190625T143316995668
   60      -2.2862      0.00        0.00    0.024950     0.025     0.063    91.633    24.826    0b1111    20190625T143317962872
   50      -1.9050      0.00        0.00    0.019463     0.031     0.063    97.881    24.826    0b1111    20190625T143318927114
   40      -1.5235      0.50        1.25    0.014000     0.000     0.000   108.821    24.826    0b1111    20190625T143319890997
   30      -1.1425      0.00        0.00    0.008500     0.000     0.000   134.412    24.826    0b1111    20190625T143320858480
   20      -0.7601      0.37        1.25    0.003075     0.025     0.063   247.195    24.857    0b1111    20190625T143321820545
   10      -0.3800      0.00        0.00    0.000000     0.000     0.000     1.000    24.826    0b1111    20190625T143322784452
    0      -0.0000      0.00        0.00    0.000000     0.000     0.000     1.000    24.857    0b1111    20190625T143323747682
