Vset[DAC]   V[V]      dVRMS[mV]   dVpp[mV]   I[A]     dIRMS[mA]   dIpp[mA]   R[ohm]   T[C]     State      Timestamp
  130      -4.7825      0.00        0.00    0.064562     0.000     0.000    74.076    24.382    0b1111    20190606T150205286951
  120      -4.4750      0.00        0.00    0.059950     0.025     0.063    74.646    24.413    0b1111    20190606T150206248706
  110      -4.1013      0.00        0.00    0.054438     0.000     0.000    75.339    24.413    0b1111    20190606T150207215953
  100      -3.7289      0.37        1.25    0.048938     0.000     0.000    76.197    24.413    0b1111    20190606T150208182170
   90      -3.3574      0.37        1.25    0.043438     0.000     0.000    77.292    24.413    0b1111    20190606T150209152165
   80      -2.9843      0.61        1.25    0.037944     0.019     0.063    78.649    24.445    0b1111    20190606T150210119468
   70      -2.6112      0.00        0.00    0.032469     0.031     0.063    80.423    24.445    0b1111    20190606T150211086356
   60      -2.2362      0.00        0.00    0.026938     0.000     0.000    83.016    24.413    0b1111    20190606T150212043588
   50      -1.8638      0.00        0.00    0.021456     0.029     0.062    86.863    24.413    0b1111    20190606T150213001530
   40      -1.4913      0.00        0.00    0.016000     0.000     0.000    93.203    24.413    0b1111    20190606T150213963016
   30      -1.1188      0.00        0.00    0.010500     0.000     0.000   106.548    24.445    0b1111    20190606T150214922286
   20      -0.7450      0.00        0.00    0.005075     0.025     0.063   146.798    24.413    0b1111    20190606T150215882869
   10      -0.3736      0.38        1.25    0.000000     0.000     0.000     1.000    24.413    0b1111    20190606T150216842270
    0      -0.0000      0.00        0.00    0.000000     0.000     0.000     1.000    24.413    0b1111    20190606T150217802274
