Vset[DAC]   V[V]      dVRMS[mV]   dVpp[mV]   I[A]     dIRMS[mA]   dIpp[mA]   R[ohm]   T[C]     State      Timestamp
  130      -4.7837      0.00        0.00    0.059088     0.031     0.063    80.960    26.474       0b0    20190613T154848387766
  120      -4.7715      0.50        1.25    0.058969     0.031     0.063    80.916    26.474       0b0    20190613T154849357331
  110      -4.4275      0.00        0.00    0.055313     0.000     0.000    80.045    26.474       0b0    20190613T154850329063
  100      -4.0250      0.00        0.00    0.051000     0.000     0.000    78.922    26.474       0b0    20190613T154851297669
   90      -3.6226      0.38        1.25    0.046750     0.000     0.000    77.489    26.474       0b0    20190613T154852269375
   80      -3.2213      0.00        0.00    0.042463     0.031     0.062    75.861    26.474       0b0    20190613T154853240698
   70      -2.8188      0.00        0.00    0.038187     0.000     0.000    73.813    26.474       0b0    20190613T154854201470
   60      -2.4137      0.00        0.00    0.033881     0.019     0.062    71.241    26.443       0b0    20190613T154855160958
   50      -2.0112      0.00        0.00    0.029625     0.000     0.000    67.890    26.474       0b0    20190613T154856123947
   40      -1.6088      0.00        0.00    0.025331     0.029     0.063    63.509    26.443       0b0    20190613T154857082069
   30      -1.2063      0.00        0.00    0.021063     0.000     0.000    57.270    26.474       0b0    20190613T154858048291
   20      -0.8037      0.00        0.00    0.016813     0.000     0.000    47.807    26.443       0b0    20190613T154859018922
   10      -0.4012      0.00        0.00    0.012563     0.000     0.000    31.940    26.443       0b0    20190613T154859986662
    0      -0.0000      0.00        0.00    0.008269     0.029     0.063    -0.000    26.443       0b0    20190613T154900956372
