Vset[DAC]   V[V]      dVRMS[mV]   dVpp[mV]   I[A]     dIRMS[mA]   dIpp[mA]   R[ohm]   T[C]     State      Timestamp
  130      -4.7938      0.00        0.00    0.051812     0.000     0.000    92.521    23.843     0b111    20181018T165638659325
  120      -4.5881      0.62        1.25    0.048987     0.025     0.063    93.659    23.843     0b111    20181018T165639615572
  110      -4.2050      0.00        0.00    0.043750     0.000     0.000    96.114    23.843     0b111    20181018T165640572182
  100      -3.8237      0.00        0.00    0.038562     0.000     0.000    99.157    23.874     0b111    20181018T165641525916
   90      -3.4425      0.00        0.00    0.033375     0.000     0.000   103.146    23.874     0b111    20181018T165642480986
   80      -3.0613      0.00        0.00    0.028187     0.000     0.000   108.603    23.874     0b111    20181018T165643435984
   70      -2.6788      0.00        0.00    0.023000     0.000     0.000   116.467    23.843     0b111    20181018T165644390742
   60      -2.2946      0.57        1.25    0.017813     0.000     0.000   128.821    23.906     0b111    20181018T165645345941
   50      -1.9125      0.00        0.00    0.012625     0.000     0.000   151.485    23.874     0b111    20181018T165646301213
   40      -1.5312      0.00        0.00    0.007437     0.000     0.000   205.882    23.874     0b111    20181018T165647257053
   30      -1.1487      0.00        0.00    0.002312     0.000     0.000   496.757    23.874     0b111    20181018T165648213932
   20      -0.7663      0.00        0.00    0.000000     0.000     0.000     1.000    23.874     0b111    20181018T165649170288
   10      -0.3838      0.00        0.00    0.000000     0.000     0.000     1.000    23.874     0b111    20181018T165650127983
    0      -0.0022      0.50        1.25    0.000000     0.000     0.000     1.000    23.843     0b111    20181018T165651084783
