Vset[DAC]   V[V]      dVRMS[mV]   dVpp[mV]   I[A]     dIRMS[mA]   dIpp[mA]   R[ohm]   T[C]     State      Timestamp
  130      -4.7992      0.61        1.25    0.061875     0.000     0.000    77.564    23.209    0b1111    20190910T084710521517
  120      -4.7875      0.00        0.00    0.061688     0.000     0.000    77.609    23.272    0b1111    20190910T084711489018
  110      -4.4869      0.62        1.25    0.057200     0.025     0.063    78.442    23.240    0b1111    20190910T084712455353
  100      -4.0793      0.61        1.25    0.051187     0.000     0.000    79.692    23.272    0b1111    20190910T084713420326
   90      -3.6725      0.00        0.00    0.045175     0.025     0.063    81.295    23.272    0b1111    20190910T084714393725
   80      -3.2664      0.38        1.25    0.039125     0.000     0.000    83.486    23.272    0b1111    20190910T084715364387
   70      -2.8600      0.00        0.00    0.033125     0.000     0.000    86.340    23.272    0b1111    20190910T084716331287
   60      -2.4500      0.00        0.00    0.027062     0.000     0.000    90.531    23.272    0b1111    20190910T084717293515
   50      -2.0423      0.50        1.25    0.021063     0.000     0.000    96.961    23.272    0b1111    20190910T084718259146
   40      -1.6350      0.00        0.00    0.015019     0.029     0.063   108.864    23.272    0b1111    20190910T084719225848
   30      -1.2263      0.00        0.00    0.009000     0.000     0.000   136.250    23.272    0b1111    20190910T084720187124
   20      -0.8182      0.61        1.25    0.003062     0.000     0.000   267.184    23.272    0b1111    20190910T084721153356
   10      -0.4101      0.37        1.25    0.000000     0.000     0.000     1.000    23.272    0b1111    20190910T084722118531
    0      -0.0025      0.00        0.00    0.000000     0.000     0.000     1.000    23.272    0b1111    20190910T084723083930
