Vset[DAC]   V[V]      dVRMS[mV]   dVpp[mV]   I[A]     dIRMS[mA]   dIpp[mA]   R[ohm]   T[C]     State      Timestamp
  130      -4.7930      0.61        1.25    0.063187     0.000     0.000    75.854    24.096     0b111    20190528T111810254551
  120      -4.7600      0.00        0.00    0.062737     0.025     0.063    75.872    24.065     0b111    20190528T111811215232
  110      -4.3638      0.00        0.00    0.057350     0.031     0.062    76.090    24.096     0b111    20190528T111812175791
  100      -3.9675      0.00        0.00    0.051944     0.019     0.063    76.381    24.096     0b111    20190528T111813134716
   90      -3.5720      0.61        1.25    0.046562     0.000     0.000    76.714    24.096     0b111    20190528T111814106478
   80      -3.1750      0.00        0.00    0.041187     0.000     0.000    77.086    24.128     0b111    20190528T111815077237
   70      -2.7775      0.00        0.00    0.035813     0.000     0.000    77.557    24.096     0b111    20190528T111816048850
   60      -2.3788      0.00        0.00    0.030437     0.000     0.000    78.152    24.096     0b111    20190528T111817019669
   50      -1.9835      0.50        1.25    0.025062     0.000     0.000    79.142    24.128     0b111    20190528T111817987065
   40      -1.5873      0.50        1.25    0.019731     0.029     0.063    80.443    24.096     0b111    20190528T111818949021
   30      -1.1912      0.00        0.00    0.014375     0.000     0.000    82.870    24.128     0b111    20190528T111819907999
   20      -0.7938      0.00        0.00    0.009062     0.000     0.000    87.586    24.096     0b111    20190528T111820865470
   10      -0.3975      0.00        0.00    0.003725     0.031     0.063   106.711    24.128     0b111    20190528T111821825059
    0      -0.0000      0.00        0.00    0.000000     0.000     0.000     1.000    24.128     0b111    20190528T111822787241
