Vset[DAC]   V[V]      dVRMS[mV]   dVpp[mV]   I[A]     dIRMS[mA]   dIpp[mA]   R[ohm]   T[C]     State      Timestamp
  130      -4.7987      0.00        0.00    0.050438     0.000     0.000    95.143    25.650       0b0    20181008T120358363153
  120      -4.5412      0.00        0.00    0.047750     0.000     0.000    95.105    25.650       0b0    20181008T120359417200
  110      -4.1613      0.00        0.00    0.043781     0.031     0.063    95.046    25.650       0b0    20181008T120400468492
  100      -3.7825      0.00        0.00    0.039819     0.019     0.063    94.993    25.650       0b0    20181008T120401522033
   90      -3.4037      0.00        0.00    0.035875     0.000     0.000    94.878    25.650       0b0    20181008T120402575297
   80      -3.0250      0.00        0.00    0.031938     0.000     0.000    94.716    25.618       0b0    20181008T120403626988
   70      -2.6463      0.00        0.00    0.028000     0.000     0.000    94.509    25.650       0b0    20181008T120404678025
   60      -2.2650      0.00        0.00    0.024006     0.019     0.063    94.350    25.618       0b0    20181008T120405730531
   50      -1.8862      0.00        0.00    0.020081     0.029     0.063    93.931    25.618       0b0    20181008T120406792284
   40      -1.5087      0.00        0.00    0.016169     0.029     0.063    93.313    25.618       0b0    20181008T120407851528
   30      -1.1300      0.00        0.00    0.012244     0.019     0.063    92.292    25.618       0b0    20181008T120408909091
   20      -0.7520      0.61        1.25    0.008375     0.000     0.000    89.791    25.618       0b0    20181008T120409969988
   10      -0.3749      0.37        1.25    0.004437     0.000     0.000    84.479    25.618       0b0    20181008T120411029567
    0      -0.0000      0.00        0.00    0.000562     0.000     0.000    -0.000    25.618       0b0    20181008T120412091813
