Vset[DAC]   V[V]      dVRMS[mV]   dVpp[mV]   I[A]     dIRMS[mA]   dIpp[mA]   R[ohm]   T[C]     State      Timestamp
  130      -4.7650      0.00        0.00    0.084038     0.031     0.063    56.701    28.916    0b1111    20190610T154953854160
  120      -4.5800      0.00        0.00    0.081200     0.025     0.063    56.404    28.947    0b1111    20190610T154954814887
  110      -4.1975      0.00        0.00    0.075562     0.000     0.000    55.550    28.947    0b1111    20190610T154955776082
  100      -3.8151      0.38        1.25    0.069875     0.000     0.000    54.599    28.979    0b1111    20190610T154956736701
   90      -3.4337      0.00        0.00    0.064231     0.029     0.063    53.459    28.979    0b1111    20190610T154957695947
   80      -3.0513      0.00        0.00    0.058563     0.000     0.000    52.102    28.979    0b1111    20190610T154958653973
   70      -2.6687      0.00        0.00    0.052900     0.031     0.063    50.449    28.979    0b1111    20190610T154959612906
   60      -2.2847      0.50        1.25    0.047250     0.000     0.000    48.354    28.979    0b1111    20190610T155000570954
   50      -1.9025      0.00        0.00    0.041575     0.025     0.063    45.761    28.979    0b1111    20190610T155001529026
   40      -1.5212      0.00        0.00    0.035950     0.025     0.063    42.316    29.011    0b1111    20190610T155002488003
   30      -1.1387      0.00        0.00    0.030325     0.025     0.063    37.552    28.979    0b1111    20190610T155003446010
   20      -0.7559      0.57        1.25    0.024756     0.019     0.063    30.533    29.011    0b1111    20190610T155004403331
   10      -0.3738      0.00        0.00    0.019125     0.000     0.000    19.542    29.011    0b1111    20190610T155005363819
    0      -0.0000      0.00        0.00    0.013500     0.000     0.000    -0.000    29.011    0b1111    20190610T155006321457
