Vset[DAC]   V[V]      dVRMS[mV]   dVpp[mV]   I[A]     dIRMS[mA]   dIpp[mA]   R[ohm]   T[C]     State      Timestamp
  130      -4.7875      0.00        0.00    0.060075     0.025     0.063    79.692    23.335    0b1111    20181011T121953409226
  120      -4.6425      0.00        0.00    0.057937     0.000     0.000    80.129    23.399    0b1111    20181011T121954464078
  110      -4.2540      0.50        1.25    0.052275     0.031     0.063    81.377    23.367    0b1111    20181011T121955514707
  100      -3.8669      0.63        1.25    0.046625     0.000     0.000    82.936    23.399    0b1111    20181011T121956567315
   90      -3.4813      0.00        0.00    0.041000     0.000     0.000    84.909    23.399    0b1111    20181011T121957618428
   80      -3.0950      0.00        0.00    0.035331     0.029     0.063    87.600    23.399    0b1111    20181011T121958672542
   70      -2.7076      0.38        1.25    0.029687     0.000     0.000    91.204    23.399    0b1111    20181011T121959722483
   60      -2.3188      0.00        0.00    0.024056     0.019     0.063    96.389    23.367    0b1111    20181011T122000772630
   50      -1.9325      0.00        0.00    0.018394     0.029     0.063   105.063    23.399    0b1111    20181011T122001824320
   40      -1.5461      0.38        1.25    0.012756     0.019     0.062   121.205    23.399    0b1111    20181011T122002878179
   30      -1.1587      0.00        0.00    0.007175     0.025     0.063   161.498    23.431    0b1111    20181011T122003928913
   20      -0.7725      0.00        0.00    0.001600     0.031     0.063   482.812    23.399    0b1111    20181011T122004979631
   10      -0.3862      0.00        0.00    0.000000     0.000     0.000     1.000    23.399    0b1111    20181011T122006029988
    0      -0.0000      0.00        0.00    0.000000     0.000     0.000     1.000    23.399    0b1111    20181011T122007082848
