Vset[DAC]   V[V]      dVRMS[mV]   dVpp[mV]   I[A]     dIRMS[mA]   dIpp[mA]   R[ohm]   T[C]     State      Timestamp
  130      -4.7849      0.37        1.25    0.071813     0.000     0.000    66.630    24.921    0b1111    20181030T115421153986
  120      -4.7563      0.00        0.00    0.071375     0.000     0.000    66.637    24.921    0b1111    20181030T115422109837
  110      -4.3600      0.00        0.00    0.065562     0.000     0.000    66.501    24.921    0b1111    20181030T115423064817
  100      -3.9629      0.57        1.25    0.059775     0.031     0.063    66.297    24.921    0b1111    20181030T115424019802
   90      -3.5675      0.00        0.00    0.054000     0.000     0.000    66.065    24.921    0b1111    20181030T115424977287
   80      -3.1713      0.00        0.00    0.048188     0.000     0.000    65.811    24.952    0b1111    20181030T115425934022
   70      -2.7750      0.00        0.00    0.042431     0.019     0.063    65.400    24.952    0b1111    20181030T115426888025
   60      -2.3762      0.00        0.00    0.036600     0.031     0.063    64.925    24.952    0b1111    20181030T115427844615
   50      -1.9792      0.61        1.25    0.030812     0.000     0.000    64.235    24.952    0b1111    20181030T115428800850
   40      -1.5825      0.00        0.00    0.025019     0.029     0.062    63.253    24.952    0b1111    20181030T115429754836
   30      -1.1862      0.00        0.00    0.019250     0.000     0.000    61.623    24.952    0b1111    20181030T115430709488
   20      -0.7900      0.00        0.00    0.013550     0.025     0.062    58.303    24.952    0b1111    20181030T115431667592
   10      -0.3937      0.00        0.00    0.007756     0.019     0.063    50.766    24.952    0b1111    20181030T115432623579
    0      -0.0000      0.00        0.00    0.002006     0.019     0.063    -0.000    24.952    0b1111    20181030T115433578148
