Vset[DAC]   V[V]      dVRMS[mV]   dVpp[mV]   I[A]     dIRMS[mA]   dIpp[mA]   R[ohm]   T[C]     State      Timestamp
  130      -4.7650      0.00        0.00    0.081312     0.000     0.000    58.601    23.874    0b1001    20190411T165757119947
  120      -4.6450      0.00        0.00    0.079187     0.000     0.000    58.658    23.874    0b1001    20190411T165758077044
  110      -4.2575      0.00        0.00    0.072625     0.000     0.000    58.623    23.906    0b1001    20190411T165759034190
  100      -3.8704      0.57        1.25    0.066069     0.019     0.063    58.581    23.938    0b1001    20190411T165759989049
   90      -3.4837      0.00        0.00    0.059587     0.031     0.063    58.464    23.938    0b1001    20190411T165800944747
   80      -3.0973      0.50        1.25    0.053125     0.000     0.000    58.301    23.906    0b1001    20190411T165801900110
   70      -2.7090      0.50        1.25    0.046625     0.000     0.000    58.102    23.938    0b1001    20190411T165802856216
   60      -2.3200      0.00        0.00    0.040063     0.000     0.000    57.910    23.906    0b1001    20190411T165803811075
   50      -1.9326      0.37        1.25    0.033613     0.025     0.063    57.497    23.938    0b1001    20190411T165804766097
   40      -1.5463      0.00        0.00    0.027125     0.000     0.000    57.005    23.906    0b1001    20190411T165805721168
   30      -1.1587      0.00        0.00    0.020625     0.000     0.000    56.182    23.906    0b1001    20190411T165806679528
   20      -0.7724      0.37        1.25    0.014200     0.025     0.063    54.393    23.938    0b1001    20190411T165807634551
   10      -0.3850      0.00        0.00    0.007750     0.000     0.000    49.677    23.938    0b1001    20190411T165808589663
    0      -0.0000      0.00        0.00    0.001281     0.031     0.062    -0.000    23.938    0b1001    20190411T165809545272
